,Republican_Text,Democrat_Text
62,"Do you live in Florida? Do you want to exercise your constitutional right to vote in federal, state, and local elections? You can't unless you become a Florida registered voter, which you can easily do in a few minutes (and without leaving home) by following only a few steps.","Trolling is the act of messing with friends through things like phones and computers. If you want to have some harmless fun, find ways to mess with your friends using your phone, their phone, social media, or a computer. Keep your pranks lighthearted and in good fun to avoid annoying your friends. With a little clever planning, you and your friends can have a good laugh via your trolling."
63,"Now and then, you'll meet someone and instantly feel like you've known each other forever. Your personalities and sense of humor are so perfectly aligned that you are instantly drawn to each other, and you're the best of friends without a lot of effort. But most friendships take a little time to get going. If there is someone in your circle of friends that you'd like to be friends with, then you can take a chance and reach out to this person and possibly even make a new friend.","Going away to college is a big life transition, and it can also be hard to leave home. However, it’s important to remember that you haven’t left for good. You can always go home for a visit or to stay if you really want to. But while you’re away at college, you have a whole new world of people and fun opening up to you! Enjoy this exciting time of growth and adventure by getting involved in campus activities and meeting new people. When homesickness hits you hard, allow yourself to feel it and seek help if you are struggling. As you continue your college journey, maintain your connections to home with regular phone calls, visits, and decorative touches."
64,"Political advertising includes print ads, radio ads, television ads and digital advertising which promotes the election or defeat of a particular candidate, political party or public policy issue. The number and intensity of political ads often increases during election seasons, and in order to keep elections fair and open and citizens informed, candidates, political parties and funding groups are required to disclose who pays for and approves of each ad. Use disclaimers in political advertising by including a brief statement alerting voters to who paid for the ad and, if applicable, whether a specific candidate approves it.","Voting is one of the most important civil responsibilities of any citizen of the United States. If you live in the state of Oklahoma and are not already registered to vote, you can do so as long as you have lived in the state for at least 30 days are 18 years old (or will be by the time of the election). Citizens can register to vote by downloading the registration paperwork and mailing it to Oklahoma's State Board of Elections. You can also change your registration information through Oklahoma's online portal. Or, register to vote online by using the third-party site https://www.vote.org/register-to-vote/oklahoma/."
65,"A bromance is a close, platonic friendship of love, and support between two males. Sometimes awkward, yet always steadfast, a genuine bromance is today’s way for two dudes to say, “I love you, man!”  But if you're a guy who's never had a male best friend, finding your bro/mate can be challenging. Whether you're interested in finding the Robin to your Batman or you've recently met a potential best friend, knowing exactly how to initiate a bromance will get your relationship off to a good start.","This article has been marked as historical.  The topic of this article is no longer active, no longer ongoing, or does not exist.   (Posted 2021-01-22).


 In the United States, voting is a great way for everyday citizens to exercise their rights and have a say in their government. It’s fantastic that you want to get involved and vote in the 2020 General Election! However, whether you’ve been voting for years or this is your first election, it’s only natural that you’re a little confused about the process. Luckily, finding out everything you need to know is easy. These are the most common questions people have about voting, so give this a look and you should be all set to vote in November!"
69,"In democratic political systems, political candidates typically are affiliated with a particular political party. However, voters typically aren't required to join a political party. Even if you choose a political party, you can still vote for whichever candidates you want, regardless of their party affiliation. In parliamentary systems political parties are far more important than in countries such as the United States, where voters choose individual candidates. To choose a political party, evaluate your beliefs regarding important political positions. Then review party positions and find the political party with policies and proposals that are most closely aligned to your personal beliefs.","Primary elections are an important part of the democratic process in the United States. During a primary, you’ll have a chance to choose which candidates will go on to compete in general elections at the state and national levels. In 2020, the Presidential primaries will take place across the country between February 3 and June 7. In order to participate in your local primary, you’ll first need to register to vote. Depending on whether your state has open or closed primaries, you may or may not need to declare a party affiliation. A few states vote by caucus rather than by ballot, so check your local election website first to find out what to expect. Before you head to the polls, research the candidates and their issues so you can be an informed voter."
70,"The manipulation of information is nothing new. However, in today's world, misinformation has the ability to spread farther and faster than ever before. Fortunately, there are some simple steps you can take to weed out the nonsense and focus on the facts. By learning how to identify fake news, exercising scrutiny (especially on the internet), and educating friends and family, you can begin to fight fake news.","Political bias is when a reporter, news organization, or TV show slants or skews facts in order to make their personal political position look more attractive. It can take many forms, from ignoring contradictory evidence, asking unbalanced questions, or cleverly framing facts and stories to change the public perception. Bias isn't necessarily a bad thing, as bias is impossible to fully escape -- we're only human! What is more important than eliminating bias, however, is learning how to detect it, helping you get a more fair and balanced perspective whenever you watch the news."
72,"Convincing people that your way is the best way is often very difficult -- especially when you're not quite sure why they're saying no. Turn the tables on your conversation and convince people of your point of view. The trick is to get them wondering why they're saying no -- and with the right tactics, you can do it.","Running a campaign is hard work, and successful campaigns usually have engaged, enthusiastic supporters behind them. Encouraging your base, reaching out to new voters, and then trying to get them all out to the polls are some of the most difficult aspects of managing any campaign. While there are no easy answers to keeping all of these groups satisfied and turning them into a winning coalition, there are helpful strategies and tips for maximizing your efforts."
73,"Voting in a state or federal election allows your voice to be heard and lets you select the candidates that you support the most. If you’re a United States citizen, meet your state's eligibility requirements, and are at least 18, you can register to vote in your state. While everyone can register by mail or in person, you may be able to register online if you live in one of the 40 states that allow it. Some states require you to register 30 days before Election Day, so make sure you meet the deadline!
Warning: Many states are changing their voting and election rules in response to COVID-19. To see if your state's rules have changed, visit: https://www.vote.org/covid-19/.","Marxism-Leninism is a political theory developed by German philosopher Karl Marx and Russian revolutionary Vladimir Lenin. It critiques capitalism as the main cause of war, poverty, and inequality, arguing that people must rise up to overthrow capitalism and establish a more fair socialist society. It has guided many revolutions in the 20th century and today there are active Marxist-Leninist parties around the world. Many are now looking to Marxism-Leninism as a solution to the problems of the 21st century such as climate change and imminent economic collapse.
While academics may want to understand Marxism-Leninism as a method of sociological analysis, more active working class people may use it as an escape plan from the dead-end of capitalism.
""The philosophers have only interpreted the world, in various ways. The point, however, is to change it"" -Karl Marx
""Without revolutionary theory there can be no revolutionary movement."" -Vladimir Lenin"
74,"A liberal person believes that the government should take action to help improve the lives of its citizens. Although you may have your own specific opinions about certain politicized topics, if you want your children to learn values that are typically liberal, take time to understand the stance of liberal people on political issues. Learn how you can help children understand and decide what makes sense for them.","As soon as you turn 18, you're eligible to vote in the United States. However, you still have to register in the state you live in. New York State offers several options for voter registration. Whether you prefer to submit your paperwork online, by mail, or in person, the process is simple enough that you'll be voting in no time."
77,"Capitalization is one of the most basic and important elements of writing. Capitalization draws the reader’s attention to names, titles, and more. Capitalization also marks the start of new sentences and new paragraphs, provides signals to the reader, and helps to create a structure and a hierarchy in written language. For these reasons, capitalization is essential for readers and writers. The rules may seem complex, but most uses of capital words fall under just a few big-picture categories.  Once you understand these categories, your writing will be clearer and easier to follow.","In the United States, voting in elections allows you to make your voice heard. If you’re in college, you might be confused about how the voting process works, since you likely use 2 addresses. You can choose to register to vote at either your college address or your prior home address, even if you live in the dorms. If your college or university is far away from your home address, you can request an absentee ballot that allows you to vote by mail. This makes it convenient and easy to cast your vote!
Warning: Many states are changing their voting and election rules in response to COVID-19. You can check if your state’s rules have changed here: https://www.vote.org/covid-19/."
78,"We all dream about finding the perfect guy who will love us forever—a soul mate. When you imagine life with your soul mate, you probably imagine living happy and in love effortlessly for the rest of your lives. But the key to a lifelong happy relationship is more than just the easy magic you imagined as a kid. It’s a balance of chemistry, communication, and long-term goals. With a little natural attraction and a lot of commitment, your relationship can last your whole life.","Many people use social media as a way to share their political views and take political action. In several instances, this activity can be positive and encouraging. It can promote open dialogue and expand social networks. However, in some cases political content posted on social medial can create disagreements, hostility, and conflict. You can post political content without conflict if you are selective in what you post, remain neutral about political issues, and handle potential conflict before it erupts."
80,"Do you ever wonder about the patterns that you see in language? Etymology is the study of words, how they evolve over time, and how they spread across different languages. Etymology can be essential for properly interpreting our records of the past. It can also help us better understand the words we use and improve our writing skills.","Community colleges provide a low-cost alternative to attending a 4-year college or university. You can save money by earning your first 2 years of college credits before you transfer or take a job. Start by improving your academic habits and developing a solid study routine. If you want to make the most of community college, decide what you want to do after you graduate. Then, take advantage of everything your community college has to offer. This may help to enhance your career connections and social life."
